Mass Wall,Metal Wall,Roof,SlabEdge,Glass,Infil,LPD,EPD (0 1st$),MWh,kWh $,kW $,Util $,Addl 1st $,40yr LCS,40yr LCS 2%,LEED
E10,E31,R-30,"2"" Vert",SB60,0.1,0.5,1,585.475,21247,24939,46833,1698,126600.7285,199835.6858,7
E11,E31,R-30,"2"" Vert",SB60,0.1,0.5,1,581.099,21090,24608,46345,-13746,133921.4985,210251.2479,8
E12,E31,R-30,"2"" Vert",SB60,0.1,0.5,1,579.874,21046,24524,46218,-11532,136919.8535,214055.0098,8
E10,E32,R-30,"2"" Vert",SB60,0.1,0.5,1,584.368,21207,24803,46658,-12048,128107.6925,202452.4625,8
E11,E32,R-30,"2"" Vert",SB60,0.1,0.5,1,579.981,21050,24479,46177,-11834,135291.6825,212686.8521,8
E12,E32,R-30,"2"" Vert",SB60,0.1,0.5,1,578.699,21004,24383,46034,-9619,138602.6775,216904.7227,8
E10,E30,R-25,"2"" Vert+Horiz",SB60,0.1,0.5,1,585.944,21266,25207,47119,-10136,112497.869,183919.0752,7
E11,E30,R-25,"2"" Vert+Horiz",SB60,0.1,0.5,1,581.568,21109,24874,46630,-5232,119838.179,194360.5191,8
E12,E30,R-25,"2"" Vert+Horiz",SB60,0.1,0.5,1,580.436,21068,24792,46508,-3017,122738.834,198034.8721,8
E10,E31,R-25,"2"" Vert+Horiz",SB60,0.1,0.5,1,587.459,21320,25392,47359,-3534,121554.6215,191453.7988,7
E11,E31,R-25,"2"" Vert+Horiz",SB60,0.1,0.5,1,583.226,21168,25063,46879,-18978,128719.0715,201662.3066,7
E12,E31,R-25,"2"" Vert+Horiz",SB60,0.1,0.5,1,582.079,21127,24974,46752,-16764,131717.4265,205466.0685,7
E10,E32,R-25,"2"" Vert+Horiz",SB60,0.1,0.5,1,586.428,21283,25268,47198,-17280,122788.0255,193708.2305,7
E11,E32,R-25,"2"" Vert+Horiz",SB60,0.1,0.5,1,582.122,21129,24938,46715,-17066,130011.0955,203994.3837,8
E12,E32,R-25,"2"" Vert+Horiz",SB60,0.1,0.5,1,581.021,21089,24854,46592,-14851,132931.2905,207694.6185,8
E10,E30,R-30,"2"" Vert+Horiz",SB60,0.1,0.5,1,576.321,20922,24224,45795,-15368,131045.821,210863.5533,8
E11,E30,R-30,"2"" Vert+Horiz",SB60,0.1,0.5,1,572.266,20777,23928,45352,2091,137487.291,220114.435,9
E12,E30,R-30,"2"" Vert+Horiz",SB60,0.1,0.5,1,571.296,20742,23857,45248,4306,140036.226,223322.9158,9
E10,E31,R-30,"2"" Vert+Horiz",SB60,0.1,0.5,1,578.052,20984,24412,46045,3789,139907.1735,218139.459,8
E11,E31,R-30,"2"" Vert+Horiz",SB60,0.1,0.5,1,573.541,20822,24083,45554,-11655,147286.5635,228632.6665,9
E12,E31,R-30,"2"" Vert+Horiz",SB60,0.1,0.5,1,572.58,20788,24014,45450,-9441,149835.4985,231841.1473,9
E10,E32,R-30,"2"" Vert+Horiz",SB60,0.1,0.5,1,576.936,20944,24290,45882,-9957,141179.6575,220445.6543,8
E11,E32,R-30,"2"" Vert+Horiz",SB60,0.1,0.5,1,572.699,20792,23976,45416,-9743,148070.5475,230291.8171,9
E12,E32,R-30,"2"" Vert+Horiz",SB60,0.1,0.5,1,571.721,20757,23908,45312,-7528,150619.4825,233500.2979,9
E10,E30,R-25,"2"" Vert",SB70,0.15,0.5,1,603.137,21872,26668,49187,-8045,65177.629,123484.0195,5
E11,E30,R-25,"2"" Vert",SB70,0.15,0.5,1,599.017,21725,26385,48759,1680,71325.999,132346.6743,6
E12,E30,R-25,"2"" Vert",SB70,0.15,0.5,1,597.908,21685,26314,48647,3894,74031.254,135762.2095,6
E10,E31,R-25,"2"" Vert",SB70,0.15,0.5,1,604.989,21938,26841,49428,3378,74214.8415,130992.8613,5
E11,E31,R-25,"2"" Vert",SB70,0.15,0.5,1,600.894,21792,26565,49004,-12067,80285.0515,139751.989,6
E12,E31,R-25,"2"" Vert",SB70,0.15,0.5,1,599.784,21752,26487,48887,-9852,83088.0065,143296.9331,6
E10,E32,R-25,"2"" Vert",SB70,0.15,0.5,1,603.778,21895,26724,49267,-10369,75448.2455,133247.293,5
E11,E32,R-25,"2"" Vert",SB70,0.15,0.5,1,599.541,21744,26435,48826,-10154,81850.6355,142446.4111,6
E12,E32,R-25,"2"" Vert",SB70,0.15,0.5,1,598.492,21706,26366,48718,-7939,84477.7305,145758.4191,6
E10,E30,R-30,"2"" Vert",SB70,0.15,0.5,1,593.07,21512,25788,47948,-8456,82064.681,148228.5457,6
E11,E30,R-30,"2"" Vert",SB70,0.15,0.5,1,588.801,21359,25453,47461,9003,89365.911,158618.226,7
E12,E30,R-30,"2"" Vert",SB70,0.15,0.5,1,587.714,21321,25371,47339,11217,92266.566,162292.579,7
E10,E31,R-30,"2"" Vert",SB70,0.15,0.5,1,594.686,21570,25929,48146,10701,91942.1135,156850.3043,6
E11,E31,R-30,"2"" Vert",SB70,0.15,0.5,1,590.566,21422,25646,47717,-4744,98110.0235,165738.841,7
E12,E31,R-30,"2"" Vert",SB70,0.15,0.5,1,589.459,21383,25559,47588,-2529,101147.4585,169594.3665,7
E10,E32,R-30,"2"" Vert",SB70,0.15,0.5,1,593.76,21537,25854,48038,-3046,92139.8975,157733.0013,6
E11,E32,R-30,"2"" Vert",SB70,0.15,0.5,1,589.406,21381,25517,47546,-2831,99538.8275,168252.0906,7
E12,E32,R-30,"2"" Vert",SB70,0.15,0.5,1,588.296,21341,25428,47418,-616,102556.7225,172081.7343,7
E10,E30,R-25,"2"" Vert+Horiz",SB70,0.15,0.5,1,594.543,21567,26155,48371,-1133,79031.194,142512.4827,6
E11,E30,R-25,"2"" Vert+Horiz",SB70,0.15,0.5,1,590.512,21423,25907,47978,3771,84495.664,150469.2751,6
