Mass Wall,Metal Wall,Roof,SlabEdge,Glass,Infil,LPD,EPD (0 1st$),EUI,Util $,Addl 1st $,40yr LCS,LEED
E12,E31,R-25,"2"" Vert+Horiz",SB60,0.1,0.5,1,75.94,46752,-16764,131717.4265,7
E10,E32,R-25,"2"" Vert+Horiz",SB60,0.1,0.5,1,76.50,47198,-17280,122788.0255,7
E11,E32,R-25,"2"" Vert+Horiz",SB60,0.1,0.5,1,75.94,46715,-17066,130011.0955,8
E12,E32,R-25,"2"" Vert+Horiz",SB60,0.1,0.5,1,75.80,46592,-14851,132931.2905,8
E10,E30,R-30,"2"" Vert+Horiz",SB60,0.1,0.5,1,75.19,45795,-15368,131045.821,8
E11,E30,R-30,"2"" Vert+Horiz",SB60,0.1,0.5,1,74.66,45352,2091,137487.291,9
E12,E30,R-30,"2"" Vert+Horiz",SB60,0.1,0.5,1,74.53,45248,4306,140036.226,9
E10,E31,R-30,"2"" Vert+Horiz",SB60,0.1,0.5,1,75.41,46045,3789,139907.1735,8
E11,E31,R-30,"2"" Vert+Horiz",SB60,0.1,0.5,1,74.82,45554,-11655,147286.5635,9
E12,E31,R-30,"2"" Vert+Horiz",SB60,0.1,0.5,1,74.70,45450,-9441,149835.4985,9
E10,E32,R-30,"2"" Vert+Horiz",SB60,0.1,0.5,1,75.27,45882,-9957,141179.6575,8
E11,E32,R-30,"2"" Vert+Horiz",SB60,0.1,0.5,1,74.71,45416,-9743,148070.5475,9
E12,E32,R-30,"2"" Vert+Horiz",SB60,0.1,0.5,1,74.59,45312,-7528,150619.4825,9
E10,E30,R-25,"2"" Vert",SB70,0.15,0.5,1,78.68,49187,-8045,65177.629,5
E11,E30,R-25,"2"" Vert",SB70,0.15,0.5,1,78.15,48759,1680,71325.999,6
E12,E30,R-25,"2"" Vert",SB70,0.15,0.5,1,78.00,48647,3894,74031.254,6
E10,E31,R-25,"2"" Vert",SB70,0.15,0.5,1,78.93,49428,3378,74214.8415,5
E11,E31,R-25,"2"" Vert",SB70,0.15,0.5,1,78.39,49004,-12067,80285.0515,6
E12,E31,R-25,"2"" Vert",SB70,0.15,0.5,1,78.25,48887,-9852,83088.0065,6
E10,E32,R-25,"2"" Vert",SB70,0.15,0.5,1,78.77,49267,-10369,75448.2455,5
E11,E32,R-25,"2"" Vert",SB70,0.15,0.5,1,78.21,48826,-10154,81850.6355,6
E12,E32,R-25,"2"" Vert",SB70,0.15,0.5,1,78.08,48718,-7939,84477.7305,6
E10,E30,R-30,"2"" Vert",SB70,0.15,0.5,1,77.37,47948,-8456,82064.681,6
E11,E30,R-30,"2"" Vert",SB70,0.15,0.5,1,76.81,47461,9003,89365.911,7
E12,E30,R-30,"2"" Vert",SB70,0.15,0.5,1,76.67,47339,11217,92266.566,7
E10,E31,R-30,"2"" Vert",SB70,0.15,0.5,1,77.58,48146,10701,91942.1135,6
E11,E31,R-30,"2"" Vert",SB70,0.15,0.5,1,77.04,47717,-4744,98110.0235,7
E12,E31,R-30,"2"" Vert",SB70,0.15,0.5,1,76.90,47588,-2529,101147.4585,7
E10,E32,R-30,"2"" Vert",SB70,0.15,0.5,1,77.46,48038,-3046,92139.8975,6
E11,E32,R-30,"2"" Vert",SB70,0.15,0.5,1,76.89,47546,-2831,99538.8275,7
E12,E32,R-30,"2"" Vert",SB70,0.15,0.5,1,76.75,47418,-616,102556.7225,7
E10,E30,R-25,"2"" Vert+Horiz",SB70,0.15,0.5,1,77.56,48371,-1133,79031.194,6
E11,E30,R-25,"2"" Vert+Horiz",SB70,0.15,0.5,1,77.04,47978,3771,84495.664,6
E12,E30,R-25,"2"" Vert+Horiz",SB70,0.15,0.5,1,76.88,47847,5985,87572.179,7
E10,E31,R-25,"2"" Vert+Horiz",SB70,0.15,0.5,1,77.79,48606,5469,88185.6465,6
E11,E31,R-25,"2"" Vert+Horiz",SB70,0.15,0.5,1,77.28,48181,-9976,94275.3965,6
E12,E31,R-25,"2"" Vert+Horiz",SB70,0.15,0.5,1,77.15,48112,-7761,96140.4315,6
E10,E32,R-25,"2"" Vert+Horiz",SB70,0.15,0.5,1,77.64,48442,-8278,89477.6705,6
E11,E32,R-25,"2"" Vert+Horiz",SB70,0.15,0.5,1,77.17,48084,-8063,94258.2405,6
E12,E32,R-25,"2"" Vert+Horiz",SB70,0.15,0.5,1,76.97,47938,-5848,97627.8555,6
E10,E30,R-30,"2"" Vert+Horiz",SB70,0.15,0.5,1,76.28,47084,-6365,96856.166,7
E11,E30,R-30,"2"" Vert+Horiz",SB70,0.15,0.5,1,75.74,46618,11094,103747.056,8
E12,E30,R-30,"2"" Vert+Horiz",SB70,0.15,0.5,1,75.59,46497,13308,106628.171,8
E10,E31,R-30,"2"" Vert+Horiz",SB70,0.15,0.5,1,76.54,47356,12792,105287.6385,7
E11,E31,R-30,"2"" Vert+Horiz",SB70,0.15,0.5,1,75.96,46872,-2653,112530.2485,7
E12,E31,R-30,"2"" Vert+Horiz",SB70,0.15,0.5,1,75.82,46746,-438,115509.0635,7
E10,E32,R-30,"2"" Vert+Horiz",SB70,0.15,0.5,1,76.41,47194,-955,106540.5825,7
E11,E32,R-30,"2"" Vert+Horiz",SB70,0.15,0.5,1,75.82,46704,-740,113900.4325,8
E12,E32,R-30,"2"" Vert+Horiz",SB70,0.15,0.5,1,75.67,46578,1475,116879.2475,8
E10,E30,R-25,"2"" Vert",SB60,0.15,0.5,1,78.62,49020,958,77443.404,6
E11,E30,R-25,"2"" Vert",SB60,0.15,0.5,1,78.06,48581,-7323,83806.714,6
E12,E30,R-25,"2"" Vert",SB60,0.15,0.5,1,77.91,48466,-5108,86570.589,6
E10,E31,R-25,"2"" Vert",SB60,0.15,0.5,1,78.85,49255,-5625,86597.8565,5
E11,E31,R-25,"2"" Vert",SB60,0.15,0.5,1,78.30,48823,-21069,92824.3865,6
E12,E31,R-25,"2"" Vert",SB60,0.15,0.5,1,78.15,48706,-18855,95627.3415,6
E10,E32,R-25,"2"" Vert",SB60,0.15,0.5,1,78.70,49104,-19371,87635.8605,5
E11,E32,R-25,"2"" Vert",SB60,0.15,0.5,1,78.14,48652,-19157,94253.1905,6
E12,E32,R-25,"2"" Vert",SB60,0.15,0.5,1,77.98,48534,-16942,97075.6855,6
E10,E30,R-30,"2"" Vert",SB60,0.15,0.5,1,77.35,47784,-17459,94271.836,7
E11,E30,R-30,"2"" Vert",SB60,0.15,0.5,1,76.78,47289,0,101729.386,7
E12,E30,R-30,"2"" Vert",SB60,0.15,0.5,1,76.65,47178,2215,104415.101,7
