Mass Wall,Metal Wall,Roof,SlabEdge,Glass,Infil,LPD,EPD (0 1st$),EUI,Util $,Addl 1st $,40yr LCS,LEED
E10,E31,R-25,"2"" Vert",SB60,0.25,0.5,1,80.86,51000,-5625,52500.5565,4
E11,E31,R-25,"2"" Vert",SB60,0.25,0.5,1,80.39,50659,-21069,56948.9465,4
E12,E31,R-25,"2"" Vert",SB60,0.25,0.5,1,80.26,50568,-18855,59243.8615,4
E10,E32,R-25,"2"" Vert",SB60,0.25,0.5,1,80.71,50856,-19371,53401.7805,4
E11,E32,R-25,"2"" Vert",SB60,0.25,0.5,1,80.25,50527,-19157,57615.6905,4
E12,E32,R-25,"2"" Vert",SB60,0.25,0.5,1,80.12,50437,-16942,59891.0655,4
E10,E30,R-30,"2"" Vert",SB60,0.25,0.5,1,79.73,49966,-17459,51635.556,5
E11,E30,R-30,"2"" Vert",SB60,0.25,0.5,1,79.21,49554,0,57471.286,5
E12,E30,R-30,"2"" Vert",SB60,0.25,0.5,1,79.06,49432,2215,60371.941,5
E10,E31,R-30,"2"" Vert",SB60,0.25,0.5,1,79.93,50163,1698,61532.5285,5
E11,E31,R-30,"2"" Vert",SB60,0.25,0.5,1,79.44,49778,-13746,66840.6785,5
E12,E31,R-30,"2"" Vert",SB60,0.25,0.5,1,79.30,49674,-11532,69389.6135,5
E10,E32,R-30,"2"" Vert",SB60,0.25,0.5,1,79.79,50025,-12048,62316.5125,5
E11,E32,R-30,"2"" Vert",SB60,0.25,0.5,1,79.29,49628,-11834,67859.1425,5
E12,E32,R-30,"2"" Vert",SB60,0.25,0.5,1,79.14,49509,-9619,70701.1775,5
E10,E30,R-25,"2"" Vert+Horiz",SB60,0.25,0.5,1,79.67,50135,-10136,53565.229,5
E11,E30,R-25,"2"" Vert+Horiz",SB60,0.25,0.5,1,79.21,49789,-5232,58111.319,5
E12,E30,R-25,"2"" Vert+Horiz",SB60,0.25,0.5,1,79.08,49697,-3017,60425.774,5
E10,E31,R-25,"2"" Vert+Horiz",SB60,0.25,0.5,1,79.87,50328,-3534,63540.3615,4
E11,E31,R-25,"2"" Vert+Horiz",SB60,0.25,0.5,1,79.41,49990,-18978,67930.1315,5
E12,E31,R-25,"2"" Vert+Horiz",SB60,0.25,0.5,1,79.29,49896,-16764,70283.6665,5
E10,E32,R-25,"2"" Vert+Horiz",SB60,0.25,0.5,1,79.74,50198,-17280,64168.0255,5
E11,E32,R-25,"2"" Vert+Horiz",SB60,0.25,0.5,1,79.28,49854,-17066,68675.0355,5
E12,E32,R-25,"2"" Vert+Horiz",SB60,0.25,0.5,1,79.15,49761,-14851,71009.0305,5
E10,E30,R-30,"2"" Vert+Horiz",SB60,0.25,0.5,1,78.66,49155,-15368,65391.421,5
E11,E30,R-30,"2"" Vert+Horiz",SB60,0.25,0.5,1,78.12,48720,2091,71676.571,6
E12,E30,R-30,"2"" Vert+Horiz",SB60,0.25,0.5,1,77.97,48597,4306,74596.766,6
E10,E31,R-30,"2"" Vert+Horiz",SB60,0.25,0.5,1,78.89,49393,3789,74487.2535,5
E11,E31,R-30,"2"" Vert+Horiz",SB60,0.25,0.5,1,78.36,48960,-11655,80733.3235,6
E12,E31,R-30,"2"" Vert+Horiz",SB60,0.25,0.5,1,78.22,48846,-9441,83477.6585,6
E10,E32,R-30,"2"" Vert+Horiz",SB60,0.25,0.5,1,78.74,49241,-9957,75544.7975,5
E11,E32,R-30,"2"" Vert+Horiz",SB60,0.25,0.5,1,78.21,48795,-9743,82044.8875,6
E12,E32,R-30,"2"" Vert+Horiz",SB60,0.25,0.5,1,78.06,48678,-7528,84847.8425,6
E10,E30,R-25,"2"" Vert",SB70,0.1,0.65,1,78.52,48232,-8045,83838.329,6
E11,E30,R-25,"2"" Vert",SB70,0.1,0.65,1,77.94,47726,1680,91510.819,7
E12,E30,R-25,"2"" Vert",SB70,0.1,0.65,1,77.80,47594,3894,94606.874,7
E10,E31,R-25,"2"" Vert",SB70,0.1,0.65,1,78.74,48490,3378,92543.3615,6
E11,E31,R-25,"2"" Vert",SB70,0.1,0.65,1,78.18,47998,-12067,99942.2915,6
E12,E31,R-25,"2"" Vert",SB70,0.1,0.65,1,78.03,47860,-9852,103155.5865,7
E10,E32,R-25,"2"" Vert",SB70,0.1,0.65,1,78.60,48318,-10369,93991.7055,6
E11,E32,R-25,"2"" Vert",SB70,0.1,0.65,1,78.02,47819,-10154,101527.4155,7
E12,E32,R-25,"2"" Vert",SB70,0.1,0.65,1,77.88,47684,-7939,104682.0905,7
E10,E30,R-30,"2"" Vert",SB70,0.1,0.65,1,77.38,46973,-8456,101116.181,7
E11,E30,R-30,"2"" Vert",SB70,0.1,0.65,1,76.91,46544,9003,107284.091,8
E12,E30,R-30,"2"" Vert",SB70,0.1,0.65,1,76.79,46426,11217,110106.586,8
E10,E31,R-30,"2"" Vert",SB70,0.1,0.65,1,77.57,47204,10701,110348.7935,7
E11,E31,R-30,"2"" Vert",SB70,0.1,0.65,1,77.11,46795,-4744,116125.9035,7
E12,E31,R-30,"2"" Vert",SB70,0.1,0.65,1,76.99,46675,-2529,118987.4785,8
E10,E32,R-30,"2"" Vert",SB70,0.1,0.65,1,77.45,47046,-3046,111523.5775,7
E11,E32,R-30,"2"" Vert",SB70,0.1,0.65,1,76.98,46628,-2831,117476.5475,8
E12,E32,R-30,"2"" Vert",SB70,0.1,0.65,1,76.86,46508,-616,120338.1225,8
E10,E30,R-25,"2"" Vert+Horiz",SB70,0.1,0.65,1,77.48,47384,-1133,98317.174,7
E11,E30,R-25,"2"" Vert+Horiz",SB70,0.1,0.65,1,76.96,46897,3771,105618.404,7
E12,E30,R-25,"2"" Vert+Horiz",SB70,0.1,0.65,1,76.84,46784,5985,108343.199,7
E10,E31,R-25,"2"" Vert+Horiz",SB70,0.1,0.65,1,77.71,47648,5469,106904.9665,7
E11,E31,R-25,"2"" Vert+Horiz",SB70,0.1,0.65,1,77.15,47144,-9976,114538.3765,7
E12,E31,R-25,"2"" Vert+Horiz",SB70,0.1,0.65,1,77.02,47022,-7761,117439.0315,7
E10,E32,R-25,"2"" Vert+Horiz",SB70,0.1,0.65,1,77.56,47473,-8278,108411.9305,7
E11,E32,R-25,"2"" Vert+Horiz",SB70,0.1,0.65,1,77.03,46981,-8063,115810.8605,7
E12,E32,R-25,"2"" Vert+Horiz",SB70,0.1,0.65,1,76.90,46863,-5848,118633.3555,7
E10,E30,R-30,"2"" Vert+Horiz",SB70,0.1,0.65,1,76.51,46245,-6365,113250.226,8
E11,E30,R-30,"2"" Vert+Horiz",SB70,0.1,0.65,1,76.10,45856,11094,118636.536,8
E12,E30,R-30,"2"" Vert+Horiz",SB70,0.1,0.65,1,76.00,45763,13308,120970.531,8
E10,E31,R-30,"2"" Vert+Horiz",SB70,0.1,0.65,1,76.70,46488,12792,122248.3585,8
E11,E31,R-30,"2"" Vert+Horiz",SB70,0.1,0.65,1,76.25,46049,-2653,128611.6685,8
E12,E31,R-30,"2"" Vert+Horiz",SB70,0.1,0.65,1,76.14,45945,-438,131160.6035,8
E10,E32,R-30,"2"" Vert+Horiz",SB70,0.1,0.65,1,76.57,46326,-955,123501.3025,8
E11,E32,R-30,"2"" Vert+Horiz",SB70,0.1,0.65,1,76.15,45921,-740,129200.2525,8
E12,E32,R-30,"2"" Vert+Horiz",SB70,0.1,0.65,1,76.05,45823,1475,131631.9475,8
E10,E30,R-25,"2"" Vert",SB60,0.1,0.65,1,78.51,48093,958,95556.984,6
E11,E30,R-25,"2"" Vert",SB60,0.1,0.65,1,77.92,47587,-7323,103229.474,7
E12,E30,R-25,"2"" Vert",SB60,0.1,0.65,1,77.77,47457,-5108,106286.449,7
E10,E31,R-25,"2"" Vert",SB60,0.1,0.65,1,78.73,48343,-5625,104418.3365,6
E11,E31,R-25,"2"" Vert",SB60,0.1,0.65,1,78.15,47856,-21069,111719.5665,7
E12,E31,R-25,"2"" Vert",SB60,0.1,0.65,1,78.00,47720,-18855,114893.7815,7
E10,E32,R-25,"2"" Vert",SB60,0.1,0.65,1,78.59,48179,-19371,105710.3605,6
E11,E32,R-25,"2"" Vert",SB60,0.1,0.65,1,78.00,47678,-19157,113285.1505,7
E12,E32,R-25,"2"" Vert",SB60,0.1,0.65,1,77.84,47540,-16942,116498.4455,7
E10,E30,R-30,"2"" Vert",SB60,0.1,0.65,1,77.39,46879,-17459,111955.536,7
E11,E30,R-30,"2"" Vert",SB60,0.1,0.65,1,76.91,46445,0,118221.146,8
E12,E30,R-30,"2"" Vert",SB60,0.1,0.65,1,76.78,46330,2215,120985.021,8
E10,E31,R-30,"2"" Vert",SB60,0.1,0.65,1,77.57,47087,1698,121637.5685,7
E11,E31,R-30,"2"" Vert",SB60,0.1,0.65,1,77.10,46675,-13746,127473.2985,8
E12,E31,R-30,"2"" Vert",SB60,0.1,0.65,1,76.98,46564,-11532,130159.0135,8
E10,E32,R-30,"2"" Vert",SB60,0.1,0.65,1,77.45,46945,-12048,122499.7125,7
E11,E32,R-30,"2"" Vert",SB60,0.1,0.65,1,76.98,46525,-11834,128491.7625,8
E12,E32,R-30,"2"" Vert",SB60,0.1,0.65,1,76.85,46407,-9619,131314.2575,8
E10,E30,R-25,"2"" Vert+Horiz",SB60,0.1,0.65,1,77.54,47316,-10136,108648.489,7
E11,E30,R-25,"2"" Vert+Horiz",SB60,0.1,0.65,1,77.00,46847,-5232,115597.999,7
E12,E30,R-25,"2"" Vert+Horiz",SB60,0.1,0.65,1,76.87,46731,-3017,118381.414,8
E10,E31,R-25,"2"" Vert+Horiz",SB60,0.1,0.65,1,77.74,47556,-3534,117705.2415,7
E11,E31,R-25,"2"" Vert+Horiz",SB60,0.1,0.65,1,77.19,47077,-18978,124850.1515,7
E12,E31,R-25,"2"" Vert+Horiz",SB60,0.1,0.65,1,77.05,46955,-16764,127750.8065,7
E10,E32,R-25,"2"" Vert+Horiz",SB60,0.1,0.65,1,77.61,47396,-17280,118919.1055,7
E11,E32,R-25,"2"" Vert+Horiz",SB60,0.1,0.65,1,77.06,46923,-17066,125946.7755,7
E12,E32,R-25,"2"" Vert+Horiz",SB60,0.1,0.65,1,76.93,46804,-14851,128788.8105,7
E10,E30,R-30,"2"" Vert+Horiz",SB60,0.1,0.65,1,76.58,46243,-15368,122291.901,8
E11,E30,R-30,"2"" Vert+Horiz",SB60,0.1,0.65,1,76.14,45851,2091,127736.831,8
E12,E30,R-30,"2"" Vert+Horiz",SB60,0.1,0.65,1,76.04,45759,4306,130051.286,8
E10,E31,R-30,"2"" Vert+Horiz",SB60,0.1,0.65,1,76.76,46458,3789,131837.1535,8
E11,E31,R-30,"2"" Vert+Horiz",SB60,0.1,0.65,1,76.30,46037,-11655,137848.7435,8
E12,E31,R-30,"2"" Vert+Horiz",SB60,0.1,0.65,1,76.18,45928,-9441,140495.3785,8
E10,E32,R-30,"2"" Vert+Horiz",SB60,0.1,0.65,1,76.64,46312,-9957,132777.4575,8
E11,E32,R-30,"2"" Vert+Horiz",SB60,0.1,0.65,1,76.19,45910,-9743,138417.7875,8
E12,E32,R-30,"2"" Vert+Horiz",SB60,0.1,0.65,1,76.08,45813,-7528,140829.9425,8
E10,E30,R-25,"2"" Vert",SB70,0.15,0.65,1,79.65,49287,-8045,63223.629,5
E11,E30,R-25,"2"" Vert",SB70,0.15,0.65,1,79.17,48937,1680,67847.879,6
E12,E30,R-25,"2"" Vert",SB70,0.15,0.65,1,79.03,48818,3894,70689.914,6
E10,E31,R-25,"2"" Vert",SB70,0.15,0.65,1,79.87,49509,3378,72632.1015,5
E11,E31,R-25,"2"" Vert",SB70,0.15,0.65,1,79.34,49083,-12067,78741.3915,5
E12,E31,R-25,"2"" Vert",SB70,0.15,0.65,1,79.20,48969,-9852,81485.7265,6
E10,E32,R-25,"2"" Vert",SB70,0.15,0.65,1,79.72,49360,-10369,73631.0255,5
E11,E32,R-25,"2"" Vert",SB70,0.15,0.65,1,79.20,48924,-10154,79935.7155,6
E12,E32,R-25,"2"" Vert",SB70,0.15,0.65,1,79.10,48895,-7939,81019.1505,6
E10,E30,R-30,"2"" Vert",SB70,0.15,0.65,1,78.43,48068,-8456,79719.881,6
E11,E30,R-30,"2"" Vert",SB70,0.15,0.65,1,77.85,47566,9003,87314.211,7
E12,E30,R-30,"2"" Vert",SB70,0.15,0.65,1,77.71,47445,11217,90195.326,7
E10,E31,R-30,"2"" Vert",SB70,0.15,0.65,1,78.66,48329,10701,88366.2935,6
E11,E31,R-30,"2"" Vert",SB70,0.15,0.65,1,78.09,47829,-4744,95921.5435,7
E12,E31,R-30,"2"" Vert",SB70,0.15,0.65,1,77.95,47712,-2529,98724.4985,7
E10,E32,R-30,"2"" Vert",SB70,0.15,0.65,1,78.51,48155,-3046,89853.7175,6
E11,E32,R-30,"2"" Vert",SB70,0.15,0.65,1,77.94,47659,-2831,97330.8075,7
E12,E32,R-30,"2"" Vert",SB70,0.15,0.65,1,77.79,47533,-616,100309.6225,7
E10,E30,R-25,"2"" Vert+Horiz",SB70,0.15,0.65,1,78.65,48575,-1133,75045.034,6
E11,E30,R-25,"2"" Vert+Horiz",SB70,0.15,0.65,1,78.10,48114,3771,81838.224,6
E12,E30,R-25,"2"" Vert+Horiz",SB70,0.15,0.65,1,77.95,47986,5985,84856.119,6
E10,E31,R-25,"2"" Vert+Horiz",SB70,0.15,0.65,1,78.83,48729,5469,85782.2265,6
E11,E31,R-25,"2"" Vert+Horiz",SB70,0.15,0.65,1,78.32,48355,-9976,90875.4365,6
E12,E31,R-25,"2"" Vert+Horiz",SB70,0.15,0.65,1,78.17,48232,-7761,93795.6315,6
E10,E32,R-25,"2"" Vert+Horiz",SB70,0.15,0.65,1,78.72,48653,-8278,85354.7305,6
E11,E32,R-25,"2"" Vert+Horiz",SB70,0.15,0.65,1,78.17,48193,-8063,92128.3805,6
E12,E32,R-25,"2"" Vert+Horiz",SB70,0.15,0.65,1,78.03,48072,-5848,95009.4955,6
E10,E30,R-30,"2"" Vert+Horiz",SB70,0.15,0.65,1,77.39,47224,-6365,94120.566,7
E11,E30,R-30,"2"" Vert+Horiz",SB70,0.15,0.65,1,76.92,46780,11094,100581.576,7
E12,E30,R-30,"2"" Vert+Horiz",SB70,0.15,0.65,1,76.80,46672,13308,103208.671,8
E10,E31,R-30,"2"" Vert+Horiz",SB70,0.15,0.65,1,77.62,47485,12792,102766.9785,7
E11,E31,R-30,"2"" Vert+Horiz",SB70,0.15,0.65,1,77.11,47022,-2653,109599.2485,7
E12,E31,R-30,"2"" Vert+Horiz",SB70,0.15,0.65,1,76.99,46910,-438,112304.5035,7
E10,E32,R-30,"2"" Vert+Horiz",SB70,0.15,0.65,1,77.46,47306,-955,104352.1025,7
E11,E32,R-30,"2"" Vert+Horiz",SB70,0.15,0.65,1,76.99,46867,-740,110715.4125,7
E12,E32,R-30,"2"" Vert+Horiz",SB70,0.15,0.65,1,76.86,46746,1475,113596.5275,7
E10,E30,R-25,"2"" Vert",SB60,0.15,0.65,1,79.62,49144,958,75020.444,5
E11,E30,R-25,"2"" Vert",SB60,0.15,0.65,1,79.13,48794,-7323,79644.694,6
E12,E30,R-25,"2"" Vert",SB60,0.15,0.65,1,78.97,48663,-5108,82721.209,6
E10,E31,R-25,"2"" Vert",SB60,0.15,0.65,1,79.84,49364,-5625,84467.9965,5
E11,E31,R-25,"2"" Vert",SB60,0.15,0.65,1,79.29,48932,-21069,90694.5265,6
E12,E31,R-25,"2"" Vert",SB60,0.15,0.65,1,79.14,48811,-18855,93575.6415,6
E10,E32,R-25,"2"" Vert",SB60,0.15,0.65,1,79.69,49215,-19371,85466.9205,5
E11,E32,R-25,"2"" Vert",SB60,0.15,0.65,1,79.15,48778,-19157,91791.1505,6
E12,E32,R-25,"2"" Vert",SB60,0.15,0.65,1,79.05,48745,-16942,92952.7455,6
E10,E30,R-30,"2"" Vert",SB60,0.15,0.65,1,78.42,47932,-17459,91379.916,6
E11,E30,R-30,"2"" Vert",SB60,0.15,0.65,1,77.84,47430,0,98974.246,7
E12,E30,R-30,"2"" Vert",SB60,0.15,0.65,1,77.69,47307,2215,101894.441,7
E10,E31,R-30,"2"" Vert",SB60,0.15,0.65,1,78.65,48185,1698,100182.6485,6
E11,E31,R-30,"2"" Vert",SB60,0.15,0.65,1,78.07,47691,-13746,107620.6585,7
E12,E31,R-30,"2"" Vert",SB60,0.15,0.65,1,77.93,47567,-11532,110560.3935,7
E10,E32,R-30,"2"" Vert",SB60,0.15,0.65,1,78.50,48015,-12048,101591.9125,6
E11,E32,R-30,"2"" Vert",SB60,0.15,0.65,1,77.93,47523,-11834,108990.8425,7
E12,E32,R-30,"2"" Vert",SB60,0.15,0.65,1,77.77,47390,-9619,112106.4375,7
E10,E30,R-25,"2"" Vert+Horiz",SB60,0.15,0.65,1,78.68,48429,-10136,86900.469,6
E11,E30,R-25,"2"" Vert+Horiz",SB60,0.15,0.65,1,78.12,47987,-5232,93322.399,6
E12,E30,R-25,"2"" Vert+Horiz",SB60,0.15,0.65,1,77.96,47858,-3017,96359.834,7
E10,E31,R-25,"2"" Vert+Horiz",SB60,0.15,0.65,1,78.85,48583,-3534,97637.6615,6
E11,E31,R-25,"2"" Vert+Horiz",SB60,0.15,0.65,1,78.33,48209,-18978,102730.8715,6
E12,E31,R-25,"2"" Vert+Horiz",SB60,0.15,0.65,1,78.19,48087,-16764,105631.5265,6
E10,E32,R-25,"2"" Vert+Horiz",SB60,0.15,0.65,1,78.76,48510,-17280,97151.5455,6
E11,E32,R-25,"2"" Vert+Horiz",SB60,0.15,0.65,1,78.20,48058,-17066,103768.8755,6
E12,E32,R-25,"2"" Vert+Horiz",SB60,0.15,0.65,1,78.04,47939,-14851,106610.9105,6
E10,E30,R-30,"2"" Vert+Horiz",SB60,0.15,0.65,1,77.44,47158,-15368,104412.801,7
E11,E30,R-30,"2"" Vert+Horiz",SB60,0.15,0.65,1,76.96,46730,2091,110561.171,8
E12,E30,R-30,"2"" Vert+Horiz",SB60,0.15,0.65,1,76.83,46617,4306,113285.966,8
E10,E31,R-30,"2"" Vert+Horiz",SB60,0.15,0.65,1,77.65,47398,3789,113469.5535,7
E11,E31,R-30,"2"" Vert+Horiz",SB60,0.15,0.65,1,77.14,46960,-11655,119813.3235,7
E12,E31,R-30,"2"" Vert+Horiz",SB60,0.15,0.65,1,77.02,46844,-9441,122596.7385,7
E10,E32,R-30,"2"" Vert+Horiz",SB60,0.15,0.65,1,77.51,47237,-9957,114702.9575,7
E11,E32,R-30,"2"" Vert+Horiz",SB60,0.15,0.65,1,77.03,46812,-9743,120792.7075,7
E12,E32,R-30,"2"" Vert+Horiz",SB60,0.15,0.65,1,76.90,46691,-7528,123673.8225,8
E10,E30,R-25,"2"" Vert",SB70,0.2,0.65,1,80.77,50302,-8045,43390.529,4
E11,E30,R-25,"2"" Vert",SB70,0.2,0.65,1,80.25,49896,1680,49109.019,5
E12,E30,R-25,"2"" Vert",SB70,0.2,0.65,1,80.11,49782,3894,51853.354,5
E10,E31,R-25,"2"" Vert",SB70,0.2,0.65,1,81.00,50544,3378,52408.2015,4
E11,E31,R-25,"2"" Vert",SB70,0.2,0.65,1,80.48,50115,-12067,58576.1115,5
E12,E31,R-25,"2"" Vert",SB70,0.2,0.65,1,80.34,50001,-9852,61320.4465,5
E10,E32,R-25,"2"" Vert",SB70,0.2,0.65,1,80.85,50385,-10369,53602.5255,4
E11,E32,R-25,"2"" Vert",SB70,0.2,0.65,1,80.32,49962,-10154,59653.1955,5
E12,E32,R-25,"2"" Vert",SB70,0.2,0.65,1,80.19,49860,-7939,62163.0505,5
E10,E30,R-30,"2"" Vert",SB70,0.2,0.65,1,79.55,49119,-8456,59183.341,5
E11,E30,R-30,"2"" Vert",SB70,0.2,0.65,1,79.02,48683,9003,65488.031,6
E12,E30,R-30,"2"" Vert",SB70,0.2,0.65,1,78.94,48663,11217,66395.606,6
E10,E31,R-30,"2"" Vert",SB70,0.2,0.65,1,79.79,49346,10701,68494.1135,5
E11,E31,R-30,"2"" Vert",SB70,0.2,0.65,1,79.24,48908,-4744,74837.8835,6
E12,E31,R-30,"2"" Vert",SB70,0.2,0.65,1,79.10,48799,-2529,77484.5185,6
E10,E32,R-30,"2"" Vert",SB70,0.2,0.65,1,79.63,49197,-3046,69493.0375,5
E11,E32,R-30,"2"" Vert",SB70,0.2,0.65,1,79.10,48759,-2831,75836.8075,6
E12,E32,R-30,"2"" Vert",SB70,0.2,0.65,1,79.02,48741,-616,76705.3025,6
E10,E30,R-25,"2"" Vert+Horiz",SB70,0.2,0.65,1,79.69,49521,-1133,56560.194,5
E11,E30,R-25,"2"" Vert+Horiz",SB70,0.2,0.65,1,79.19,49122,3771,62141.904,5
E12,E30,R-25,"2"" Vert+Horiz",SB70,0.2,0.65,1,79.06,49016,5985,64729.919,6
E10,E31,R-25,"2"" Vert+Horiz",SB70,0.2,0.65,1,79.91,49748,5469,65870.9665,5
E11,E31,R-25,"2"" Vert+Horiz",SB70,0.2,0.65,1,79.40,49336,-9976,71706.6965,5
E12,E31,R-25,"2"" Vert+Horiz",SB70,0.2,0.65,1,79.28,49238,-7761,74138.3915,5
E10,E32,R-25,"2"" Vert+Horiz",SB70,0.2,0.65,1,79.77,49598,-8278,66889.4305,5
E11,E32,R-25,"2"" Vert+Horiz",SB70,0.2,0.65,1,79.27,49195,-8063,72549.3005,5
E12,E32,R-25,"2"" Vert+Horiz",SB70,0.2,0.65,1,79.13,49084,-5848,75235.0155,5
E10,E30,R-30,"2"" Vert+Horiz",SB70,0.2,0.65,1,78.56,48419,-6365,70770.266,6
E11,E30,R-30,"2"" Vert+Horiz",SB70,0.2,0.65,1,78.00,47948,11094,77758.856,6
E12,E30,R-30,"2"" Vert+Horiz",SB70,0.2,0.65,1,77.86,47820,13308,80776.751,7
E10,E31,R-30,"2"" Vert+Horiz",SB70,0.2,0.65,1,78.72,48553,12792,81898.2585,6
E11,E31,R-30,"2"" Vert+Horiz",SB70,0.2,0.65,1,78.24,48207,-2653,86444.3485,6
E12,E31,R-30,"2"" Vert+Horiz",SB70,0.2,0.65,1,78.09,48077,-438,89501.3235,6
E10,E32,R-30,"2"" Vert+Horiz",SB70,0.2,0.65,1,78.58,48396,-955,83053.5025,6
E11,E32,R-30,"2"" Vert+Horiz",SB70,0.2,0.65,1,78.09,48034,-740,87912.2325,6
E12,E32,R-30,"2"" Vert+Horiz",SB70,0.2,0.65,1,77.94,47903,1475,90988.7475,6
E10,E30,R-25,"2"" Vert",SB60,0.2,0.65,1,80.71,50151,958,55343.664,5
E11,E30,R-25,"2"" Vert",SB60,0.2,0.65,1,80.19,49732,-7323,61316.174,5
E12,E30,R-25,"2"" Vert",SB60,0.2,0.65,1,80.04,49613,-5108,64158.209,5
E10,E31,R-25,"2"" Vert",SB60,0.2,0.65,1,80.95,50392,-5625,64380.8765,4
E11,E31,R-25,"2"" Vert",SB60,0.2,0.65,1,80.40,49955,-21069,70705.1065,5
E12,E31,R-25,"2"" Vert",SB60,0.2,0.65,1,80.26,49841,-18855,73449.4415,5
E10,E32,R-25,"2"" Vert",SB60,0.2,0.65,1,80.80,50230,-19371,65633.8205,5
E11,E32,R-25,"2"" Vert",SB60,0.2,0.65,1,80.25,49796,-19157,71899.4305,5
E12,E32,R-25,"2"" Vert",SB60,0.2,0.65,1,80.12,49694,-16942,74409.2855,5
E10,E30,R-30,"2"" Vert",SB60,0.2,0.65,1,79.51,48968,-17459,71136.476,6
E11,E30,R-30,"2"" Vert",SB60,0.2,0.65,1,79.04,48627,0,75584.866,6
E12,E30,R-30,"2"" Vert",SB60,0.2,0.65,1,78.90,48517,2215,78251.041,6
E10,E31,R-30,"2"" Vert",SB60,0.2,0.65,1,79.74,49198,1698,80388.6285,5
E11,E31,R-30,"2"" Vert",SB60,0.2,0.65,1,79.20,48765,-13746,86634.6985,6
E12,E31,R-30,"2"" Vert",SB60,0.2,0.65,1,79.06,48651,-11532,89379.0335,6
E10,E32,R-30,"2"" Vert",SB60,0.2,0.65,1,79.59,49040,-12048,81563.4125,6
E11,E32,R-30,"2"" Vert",SB60,0.2,0.65,1,79.06,48613,-11834,87692.2425,6
E12,E32,R-30,"2"" Vert",SB60,0.2,0.65,1,78.97,48589,-9619,88677.9775,6
E10,E30,R-25,"2"" Vert+Horiz",SB60,0.2,0.65,1,79.72,49383,-10136,68259.309,5
E11,E30,R-25,"2"" Vert+Horiz",SB60,0.2,0.65,1,79.20,48971,-5232,74095.039,6
E12,E30,R-25,"2"" Vert+Horiz",SB60,0.2,0.65,1,79.06,48864,-3017,76702.594,6
E10,E31,R-25,"2"" Vert+Horiz",SB60,0.2,0.65,1,79.92,49601,-3534,77745.9415,5
E11,E31,R-25,"2"" Vert+Horiz",SB60,0.2,0.65,1,79.41,49193,-18978,83503.5115,5
E12,E31,R-25,"2"" Vert+Horiz",SB60,0.2,0.65,1,79.28,49088,-16764,86071.9865,5
E10,E32,R-25,"2"" Vert+Horiz",SB60,0.2,0.65,1,79.79,49458,-17280,78627.6255,5
E11,E32,R-25,"2"" Vert+Horiz",SB60,0.2,0.65,1,79.27,49036,-17066,84658.7555,6
E12,E32,R-25,"2"" Vert+Horiz",SB60,0.2,0.65,1,79.13,48932,-14851,87207.6905,6
E10,E30,R-30,"2"" Vert+Horiz",SB60,0.2,0.65,1,78.59,48278,-15368,82528.001,6
E11,E30,R-30,"2"" Vert+Horiz",SB60,0.2,0.65,1,78.03,47825,2091,89164.871,7
E12,E30,R-30,"2"" Vert+Horiz",SB60,0.2,0.65,1,77.88,47701,4306,92104.606,7
E10,E31,R-30,"2"" Vert+Horiz",SB60,0.2,0.65,1,78.74,48413,3789,93636.4535,6
E11,E31,R-30,"2"" Vert+Horiz",SB60,0.2,0.65,1,78.26,48067,-11655,98182.5435,6
E12,E31,R-30,"2"" Vert+Horiz",SB60,0.2,0.65,1,78.10,47940,-9441,101180.8985,6
E10,E32,R-30,"2"" Vert+Horiz",SB60,0.2,0.65,1,78.61,48260,-9957,94713.5375,6
E11,E32,R-30,"2"" Vert+Horiz",SB60,0.2,0.65,1,78.11,47907,-9743,99396.4075,6
E12,E32,R-30,"2"" Vert+Horiz",SB60,0.2,0.65,1,77.96,47781,-7528,102375.2225,7
E10,E30,R-25,"2"" Vert",SB70,0.25,0.65,1,81.95,51380,-8045,22326.409,4
E11,E30,R-25,"2"" Vert",SB70,0.25,0.65,1,81.42,50952,1680,28474.779,4
E12,E30,R-25,"2"" Vert",SB70,0.25,0.65,1,81.28,50845,3894,31082.334,4
E10,E31,R-25,"2"" Vert",SB70,0.25,0.65,1,82.18,51595,3378,31871.6615,3
E11,E31,R-25,"2"" Vert",SB70,0.25,0.65,1,81.67,51199,-12067,37394.7515,4
E12,E31,R-25,"2"" Vert",SB70,0.25,0.65,1,81.53,51087,-9852,40100.0065,4
E10,E32,R-25,"2"" Vert",SB70,0.25,0.65,1,82.04,51458,-10369,32636.1055,3
E11,E32,R-25,"2"" Vert",SB70,0.25,0.65,1,81.50,51036,-10154,38667.2355,4
E12,E32,R-25,"2"" Vert",SB70,0.25,0.65,1,81.34,50903,-7939,41782.8305,4
E10,E30,R-30,"2"" Vert",SB70,0.25,0.65,1,80.67,50135,-8456,39330.701,5
E11,E30,R-30,"2"" Vert",SB70,0.25,0.65,1,80.16,49739,9003,44853.791,5
E12,E30,R-30,"2"" Vert",SB70,0.25,0.65,1,80.05,49645,11217,47207.326,5
E10,E31,R-30,"2"" Vert",SB70,0.25,0.65,1,80.90,50378,10701,48328.8335,4
E11,E31,R-30,"2"" Vert",SB70,0.25,0.65,1,80.38,49944,-4744,54594.4435,5
E12,E31,R-30,"2"" Vert",SB70,0.25,0.65,1,80.26,49859,-2529,56772.1185,5
